date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:25:37	38/38	---M--	200	added ('OK')	text/plain	date:Mon,%2031%20Dec%202018%2004:08:24%20GMT	https://www.obrasoft.com/robots.txt		(from )
21:25:37	18271/18271	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Jan%202024%2004:05:23%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/index.html	(from )
21:25:38	617/617	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202024%2004:05:23%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/css/fonts.css	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/css/fonts.css	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:25:38	830/830	---M--	200	added ('OK')	image/x-icon	date:Wed,%2003%20Jan%202024%2004:05:29%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/fav.ico	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/fav.ico	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:25:38	25983/25983	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202024%2004:05:23%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/css/aos.css	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/css/aos.css	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:25:38	2344/2344	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202024%2004:05:23%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/css/superfish.css	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/css/superfish.css	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:25:39	25681/25681	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202024%2004:05:23%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/css/main.css	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:25:40	3397/3397	---M--	200	added ('OK')	application/javascript	date:Wed,%2003%20Jan%202024%2004:05:34%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/js/responsiveslides.min.js	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/js/responsiveslides.min.js	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:25:41	4741/4741	---M--	200	added ('OK')	application/javascript	date:Wed,%2003%20Jan%202024%2004:05:34%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/js/jquery.webticker.js	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/js/jquery.webticker.js	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:25:41	93636/93636	---M--	200	added ('OK')	application/javascript	date:Wed,%2003%20Jan%202024%2004:05:34%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/js/jquery.js	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/js/jquery.js	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:25:42	18271/18271	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Jan%202024%2004:05:23%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/index.html	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/index-2.html	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:25:42	13220/13220	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:31%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/logo.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/logo.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:25:42	1668/1668	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:30%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/home.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/home.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:25:42	4710/4710	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jan%202024%2004:05:32%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/nav.png	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/nav.png	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:25:54	278120/278120	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:27%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/banner.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/banner.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:25:54	259854/259854	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:27%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/banner2.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/banner2.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:25:55	157609/157609	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:26%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/about.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/about.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:25:57	22296/22296	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:32%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/vision.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/vision.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
